	Time			6 Y_Fz			5 O_Fz			4 Y_Fy			3 O_Fy			2 L(1,2,3)			1 R(1,2,3)	
0.0000	3.278	1.741	0.4010	-1.6893	0.38643	-0.05337
0.0005	3.237	1.742	0.4022	-1.6888	0.38632	-0.03295
0.0010	3.197	1.742	0.4032	-1.6884	0.38653	-0.02682
0.0015	3.162	1.743	0.4039	-1.6882	0.38604	-0.03362
0.0020	3.133	1.744	0.4041	-1.6885	0.38610	-0.03277
0.0025	3.112	1.745	0.4036	-1.6893	0.38608	-0.03178
0.0030	3.101	1.746	0.4023	-1.6907	0.38655	-0.03033
0.0035	3.102	1.748	0.4006	-1.6925	0.38599	-0.02911
0.0040	3.114	1.749	0.3987	-1.6945	0.38595	-0.02941
0.0045	3.139	1.751	0.3971	-1.6963	0.38624	-0.03091
0.0050	3.178	1.752	0.3962	-1.6978	0.38640	-0.03002
0.0055	3.229	1.753	0.3963	-1.6987	0.38637	-0.02996
0.0060	3.285	1.754	0.3971	-1.6991	0.38594	-0.03155
0.0065	3.337	1.754	0.3984	-1.6992	0.38580	-0.03192
0.0070	3.374	1.754	0.3998	-1.6991	0.38592	-0.03277
0.0075	3.385	1.752	0.4010	-1.6991	0.38648	-0.03122
0.0080	3.363	1.750	0.4017	-1.6992	0.38639	-0.03170
0.0085	3.315	1.747	0.4021	-1.6995	0.38605	-0.03059
0.0090	3.254	1.743	0.4022	-1.7000	0.38607	-0.03216
0.0095	3.193	1.739	0.4022	-1.7007	0.38625	-0.03081
0.0100	3.148	1.734	0.4023	-1.7015	0.38654	-0.03246
0.0105	3.128	1.730	0.4026	-1.7025	0.38616	-0.03183
0.0110	3.133	1.725	0.4030	-1.7034	0.38607	-0.02956
0.0115	3.153	1.722	0.4033	-1.7041	0.38658	-0.03038
0.0120	3.180	1.720	0.4031	-1.7044	0.38623	-0.03109
0.0125	3.208	1.719	0.4024	-1.7040	0.38584	-0.03120
0.0130	3.227	1.721	0.4009	-1.7029	0.38593	-0.03170
0.0135	3.240	1.724	0.3989	-1.7012	0.38633	-0.03221
0.0140	3.250	1.728	0.3970	-1.6994	0.38610	-0.03170
0.0145	3.261	1.731	0.3955	-1.6978	0.38595	-0.03035
0.0150	3.277	1.734	0.3950	-1.6967	0.38577	-0.03323
0.0155	3.303	1.735	0.3957	-1.6964	0.38595	-0.03135
0.0160	3.336	1.734	0.3973	-1.6967	0.38640	-0.03353
0.0165	3.374	1.733	0.3994	-1.6972	0.38625	-0.03218
0.0170	3.413	1.733	0.4016	-1.6977	0.38609	-0.03262
0.0175	3.451	1.734	0.4034	-1.6979	0.38583	-0.03141
0.0180	3.484	1.737	0.4045	-1.6974	0.38624	-0.03246
0.0185	3.511	1.741	0.4048	-1.6966	0.38641	-0.03325
0.0190	3.531	1.745	0.4046	-1.6958	0.38594	-0.03201
0.0195	3.544	1.748	0.4041	-1.6953	0.38642	-0.03166
0.0200	3.549	1.749	0.4036	-1.6954	0.38595	-0.03170
0.0205	3.544	1.746	0.4030	-1.6964	0.38637	-0.03011
0.0210	3.529	1.741	0.4027	-1.6982	0.38639	-0.03292
0.0215	3.500	1.734	0.4024	-1.7004	0.38579	-0.03407
0.0220	3.457	1.728	0.4023	-1.7028	0.38623	-0.03307
0.0225	3.397	1.723	0.4023	-1.7051	0.38654	-0.03018
0.0230	3.319	1.721	0.4025	-1.7070	0.38623	-0.03033
0.0235	3.233	1.721	0.4027	-1.7085	0.38566	-0.03153
0.0240	3.152	1.723	0.4028	-1.7093	0.38621	-0.03262
0.0245	3.091	1.726	0.4028	-1.7095	0.38617	-0.03164
0.0250	3.062	1.730	0.4023	-1.7089	0.38640	-0.03155
0.0255	3.077	1.734	0.4015	-1.7075	0.38621	-0.03289
0.0260	3.127	1.738	0.4004	-1.7054	0.38577	-0.03231
0.0265	3.191	1.742	0.3994	-1.7029	0.38579	-0.03138
0.0270	3.251	1.745	0.3987	-1.7004	0.38623	-0.03048
0.0275	3.289	1.748	0.3986	-1.6980	0.38648	-0.03214
0.0280	3.289	1.751	0.3993	-1.6959	0.38624	-0.03033
0.0285	3.257	1.754	0.4005	-1.6944	0.38602	-0.03130
0.0290	3.208	1.756	0.4017	-1.6934	0.38578	-0.03109
0.0295	3.156	1.758	0.4025	-1.6929	0.38587	-0.03142
0.0300	3.117	1.759	0.4024	-1.6930	0.38654	-0.03094
0.0305	3.104	1.761	0.4010	-1.6937	0.38620	-0.03148
0.0310	3.112	1.763	0.3988	-1.6947	0.38562	-0.03002
0.0315	3.134	1.764	0.3963	-1.6957	0.38634	-0.03194
0.0320	3.160	1.764	0.3940	-1.6965	0.38623	-0.03109
0.0325	3.180	1.763	0.3926	-1.6967	0.38627	-0.03146
0.0330	3.187	1.761	0.3924	-1.6960	0.38608	-0.03185
0.0335	3.181	1.757	0.3931	-1.6948	0.38615	-0.03222
0.0340	3.167	1.752	0.3945	-1.6934	0.38596	-0.03201
0.0345	3.151	1.746	0.3961	-1.6923	0.38583	-0.03179
0.0350	3.137	1.738	0.3974	-1.6918	0.38594	-0.03155
0.0355	3.129	1.730	0.3981	-1.6921	0.38624	-0.03308
0.0360	3.127	1.722	0.3984	-1.6932	0.38655	-0.03140
0.0365	3.127	1.715	0.3986	-1.6947	0.38622	-0.03272
0.0370	3.126	1.711	0.3990	-1.6964	0.38596	-0.03231
0.0375	3.122	1.712	0.3998	-1.6978	0.38602	-0.03113
0.0380	3.111	1.717	0.4012	-1.6989	0.38638	-0.03185
0.0385	3.096	1.726	0.4028	-1.6995	0.38666	-0.03257
0.0390	3.081	1.737	0.4042	-1.6997	0.38625	-0.03277
0.0395	3.069	1.747	0.4046	-1.6996	0.38584	-0.03170
0.0400	3.065	1.755	0.4036	-1.6991	0.38593	-0.03262
0.0405	3.071	1.760	0.4009	-1.6984	0.38667	-0.03258
